ID,Genus,Species,Date,Capture time,Plant,Place,Sex,IT (mm),Age.signals,Observer,Correct.cue,First.position,PER.sugar1,PER.water1,Success1,Water.exploring1,PER.sugar2,PER.water2,Success2,Water.exploring2,PER.sugar3,PER.water3,Success3,Water.exploring3,PER.sugar4,PER.water4,Success4,Water.exploring4,PER.sugar5,PER.water5,Success5,Water.exploring5,PER.sugar6,PER.water6,Success6,Water.exploring6,PER.sugar7,PER.water7,Success7,Water.exploring7,PER.sugar.test,PER.water.test,Success.test,Water.exploring.test,Notes,Experimental tube
D26,Andrena ,Andrena flavipes,22/03/18,12:00,Asphodelus fistulosus,Aznalcazar,Female,,No,Cristina,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,30,69,Yes,Yes,82,137,Yes,Yes,No,106,No,Yes,10,18,Yes,Yes,5,13,Yes,Yes,,,,,,3
D25,Andrena,Andrena labialis,22/03/18,12:00,Asphodelus fistulosus,Aznalcazar,Male,,,Patrick,Blue,Right,NA,NA,NA,NA,No,67,No,Yes,No,37,No,Yes,156,No,Yes,No,107,37,No,Yes,NA,NA,NA,NA,7,39,Yes,Yes,NA,NA,NA,NA,Ignored the test,3
D19,Eucera,Eucera notata,22/03/18,10:30,Asphodelus fistulosus,Aznalcazar,Male,,Yes,Cristina,Blue,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,Dead by heat,2.5
D28,Anthophora ,Anthopora plumipes,22/03/18,12:00,Asphodelus fistulosus,Aznalcazar,Male,,Yes,Cristina,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,Dead during the trials,2.5
D21,Andrena,Andrena sp.,22/03/18,10:30,Asphodelus fistulosus,Aznalcazar,Male,,No,Patrick,Blue,Right,6,No,Yes,No,87,97,Yes,Yes,4,17,Yes,Yes,57,14,No,Yes,13,28,Yes,Yes,7,49,Yes,Yes,20,No,Yes,No,NA,NA,NA,NA,,2.5
D27,Andrena,Andrena sp.,22/03/18,12:00,Asphodelus fistulosus,Aznalcazar,Male,,,Cristina,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,6,No,Yes,,2.5
D16,Xylocopa,Xylocopa cantabrita,22/03/18,10:30,Asphodelus fistulosus,Aznalcazar,Male,,No,Cristina,Blue,Right,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dead by heat,3
D17,Xylocopa,Xylocopa cantabrita,22/03/18,10:30,Asphodelus fistulosus,Aznalcazar,Male,,Yes,Cristina,Blue,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,Dead by heat,2.5
D18,Xylocopa,Xylocopa cantabrita,22/03/18,10:30,Asphodelus fistulosus,Aznalcazar,Male,,No,Cristina,Blue,Right,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dead by heat,2.5
D20,Xylocopa,Xylocopa cantabrita,22/03/18,10:30,Asphodelus fistulosus,Aznalcazar,Male,,No,Cristina,Blue,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,3
D22,Xylocopa,Xylocopa cantabrita,22/03/18,10:30,Asphodelus fistulosus,Aznalcazar,Male,,No,Patrick,Blue,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,Discarded,2.5
D87,Bombus,Bombus terrestris,10/04/18,12:00,,Aznalcazar,Female,,No,Cristina,Blue,Left,30,74,Yes,Yes,86,16,No,Yes,3,14,Yes,Yes,58,14,No,Yes,34,3,No,Yes,5,30,Yes,Yes,22,5,No,Yes,4,24,Yes,Yes,,3
D88,Bombus,Bombus terrestris,10/04/18,12:00,,Aznalcazar,Female,,Yes,Cristina,Blue,Left,NA,NA,NA,NA,57,11,No,Yes,14,60,Yes,Yes,16,43,Yes,Yes,9,40,Yes,Yes,54,6,No,Yes,27,9,No,Yes,25,35,Yes,Yes,,3
D89,Bombus,Bombus terrestris,10/04/18,12:00,,Aznalcazar,Male,,Yes,Cristina,Blue,Left,8,68,Yes,Yes,191,13,No,Yes,35,6,No,Yes,32,6,No,Yes,15,5,No,Yes,33,5,No,Yes,15,7,No,Yes,8,22,Yes,Yes,,3
D90,Bombus,Bombus terrestris,10/04/18,12:00,,Aznalcazar,Male,,No,Cristina,Blue,Left,12,66,Yes,Yes,16,49,Yes,Yes,33,12,No,Yes,5,17,Yes,Yes,13,8,No,Yes,7,19,Yes,Yes,19,9,No,Yes,3,20,Yes,Yes,,2.5
D91,Bombus,Bombus terrestris,10/04/18,12:00,,Aznalcazar,Male,,No,Cristina,Blue,Left,18,98,Yes,Yes,23,59,Yes,Yes,26,11,No,Yes,22,6,No,Yes,5,19,Yes,Yes,5,24,Yes,Yes,18,6,No,Yes,9,29,Yes,Yes,,2.5
